name,address,category
Nướng Hải Dương,"Số 463, Đường Nguyễn Ái Quốc, Hố Nai, Biên Hòa, Đồng Nai, 76114",restaurant
Cơm Chiên Gà Xối Mỡ 142,"Đường Nguyễn Ái Quốc, Hố Nai, Biên Hòa, Đồng Nai, 76114",restaurant
Hủ Tiếu-Bún Mọc-Bánh Canh Giò Heo Nhớ,"Số 459, Đường Nguyễn Ái Quốc, Hố Nai, Biên Hòa, Đồng Nai, 76114",restaurant
Ốc Oanh,"Số 421, Đường Nguyễn Ái Quốc, Hố Nai, Biên Hòa, Đồng Nai, 76114",restaurant
Quán Ăn Vặt Shin,"Đường Nguyễn Ái Quốc, Hố Nai, Biên Hòa, Đồng Nai, 76114",fast food
Cháo Nóng Việt Soup,"Đường Nguyễn Ái Quốc, Hố Nai, Biên Hòa, Đồng Nai, 76114",restaurant
Quán Cơm,"Đường Nguyễn Ái Quốc, Hố Nai, Biên Hòa, Đồng Nai, 76114",restaurant
Quán Cầy Quay Đức Hạnh,"Số 508, Đường Nguyễn Ái Quốc, Hố Nai, Biên Hòa, Đồng Nai, 76114",restaurant
Thịt Cầy Hai Phong,"Số 446, Đường Nguyễn Ái Quốc, Hố Nai, Biên Hòa, Đồng Nai, 76114",restaurant
Quán Phở Bình Minh 2,"Số 7, Đường Nguyễn Ái Quốc, Hố Nai, Biên Hòa, Đồng Nai, 76114",chinese
Quán Ngọc Lan,"Hẻm 393 Nguyễn Ái Quốc, Hố Nai, Biên Hòa, Đồng Nai, 76114",restaurant
Bò Bít Tết Bò Cười,"Số 430, Đường Nguyễn Ái Quốc, Hố Nai, Biên Hòa, Đồng Nai, 76114",restaurant
Cơm Gà Xối Mỡ 68-Chi Nhánh 6,"Số 359, Đường Nguyễn Ái Quốc, Hố Nai, Biên Hòa, Đồng Nai, 76114",restaurant
Ngọc Phú Quán,"Hẻm 385/37 Nguyễn Ái Quốc, Hố Nai, Biên Hòa, Đồng Nai, 76114",restaurant
Trà Sữa Net,"Số 341, Đường Nguyễn Ái Quốc, Hố Nai, Biên Hòa, Đồng Nai, 76114",restaurant
Quán Không Quên,"Hẻm 385/37 Nguyễn Ái Quốc, Hố Nai, Biên Hòa, Đồng Nai, 76114",restaurant
Quán Ăn Hải Yến,"Đường Nguyễn Ái Quốc, Hố Nai, Biên Hòa, Đồng Nai, 76114",chinese
Cơm Tấm Thu Loan,"Số 381, Đường Nguyễn Ái Quốc, Hố Nai, Biên Hòa, Đồng Nai, 76114",restaurant
Bánh Cuốn Nóng Phương Nguyệt,"Hẻm 371 Nguyễn Ái Quốc, Hố Nai, Biên Hòa, Đồng Nai, 76114",restaurant
Lẩu Bò Bắc Hải,"Hẻm 385/37 Nguyễn Ái Quốc, Hố Nai, Biên Hòa, Đồng Nai, 76114",hot pot
